Designator,Mid X,Mid Y,Rotation,Layer
D1,158.27,-99.0,90.0,top
D3,126.0,-90.0,0.0,top
D5,126.0,-111.0,0.0,top
D6,121.0,-124.0,0.0,top
D8,158.27,-123.0,90.0,top
J1,125.005,-73.3275,180.0,top
J2,146.0,-73.25,180.0,top
J3,135.805,-133.6725,0.0,top
Q1,152.27,-101.0,180.0,top
Q11,116.0,-86.0,0.0,top
Q12,122.0,-106.0,180.0,top
Q13,116.0,-106.0,180.0,top
Q17,128.0,-106.0,180.0,top
Q18,117.0,-120.0,0.0,top
Q19,133.0,-119.0,180.0,top
Q2,139.27,-91.0,0.0,top
Q20,123.0,-120.0,0.0,top
Q26,152.27,-126.0,180.0,top
Q27,139.27,-116.0,0.0,top
Q28,149.27,-116.0,180.0,top
Q29,149.27,-111.0,0.0,top
Q3,149.27,-91.0,180.0,top
Q30,139.27,-111.0,0.0,top
Q4,122.0,-86.0,0.0,top
Q5,128.0,-86.0,0.0,top
Q6,149.27,-86.0,0.0,top
Q7,139.27,-86.0,0.0,top
R1,143.27,-100.0,0.0,top
R2,158.27,-89.0,270.0,top
R23,133.0,-88.0,90.0,top
R24,126.0,-93.0,180.0,top
R25,131.0,-81.0,180.0,top
R26,120.0,-81.0,180.0,top
R27,133.0,-107.81,270.0,top
R28,120.0,-101.0,0.0,top
R29,131.0,-97.0,180.0,top
R3,141.08,-96.0,180.0,top
R30,131.0,-101.0,180.0,top
R31,128.0,-122.0,90.0,top
R32,121.0,-127.0,0.0,top
R33,131.0,-115.0,0.0,top
R34,120.0,-115.0,0.0,top
R4,144.27,-89.0,270.0,top
R43,143.27,-126.0,0.0,top
R44,158.27,-113.0,270.0,top
R45,141.27,-121.0,180.0,top
R46,144.27,-114.0,270.0,top
R47,151.27,-121.0,0.0,top
R48,154.27,-114.0,270.0,top
R49,153.08,-106.0,0.0,top
R5,151.08,-96.0,0.0,top
R50,142.08,-106.0,180.0,top
R6,154.27,-89.0,270.0,top
R7,153.27,-81.0,180.0,top
R8,142.27,-81.0,180.0,top
