Designator,Mid X,Mid Y,Rotation,Layer
D1,151.13,-84.7725,0.0,top
D2,193.9925,-84.7725,0.0,top
D3,151.13,-108.585,0.0,top
D4,157.1625,-113.3475,270.0,top
D5,200.025,-113.3475,270.0,top
D6,193.9925,-108.585,0.0,top
J1,111.91875,-104.61625,270.0,top
Q1,140.49375,-84.7725,0.0,top
Q2,126.20625,-84.7725,0.0,top
Q3,183.35625,-84.7725,0.0,top
Q4,169.06875,-84.7725,0.0,top
Q5,140.49375,-108.585,0.0,top
Q6,126.20625,-108.585,0.0,top
Q7,169.06875,-108.585,0.0,top
Q8,183.35625,-108.585,0.0,top
R1,152.4,-96.67875,90.0,top
R10,195.2625,-120.49125,90.0,top
R11,188.11875,-120.49125,90.0,top
R12,173.83125,-120.49125,90.0,top
R2,152.4,-120.49125,90.0,top
R3,145.25625,-96.67875,90.0,top
R4,195.2625,-96.67875,90.0,top
R5,130.96875,-96.67875,90.0,top
R6,188.11875,-96.67875,90.0,top
R7,173.83125,-96.67875,90.0,top
R8,145.25625,-120.49125,90.0,top
R9,130.96875,-120.49125,90.0,top
SW1,138.1125,-120.49125,180.0,top
SW2,138.1125,-96.67875,180.0,top
SW3,123.825,-96.67875,180.0,top
SW4,180.975,-96.67875,180.0,top
SW5,166.6875,-96.67875,180.0,top
SW6,123.825,-120.49125,180.0,top
SW7,180.975,-120.49125,180.0,top
SW8,166.6875,-120.49125,180.0,top
