Designator,Mid X,Mid Y,Rotation,Layer
D1_12,127.12,-127.12,270.0,top
D1_11,104.15,-126.89,270.0,top
D1_10,173.12,-98.12,270.0,top
D1_9,150.15,-97.89,270.0,top
D1_8,127.12,-98.12,270.0,top
D1_7,104.15,-97.89,270.0,top
D1_6,173.12,-69.12,270.0,top
D1_5,150.15,-68.89,270.0,top
D1_4,127.12,-69.12,270.0,top
D1_3,104.15,-68.89,270.0,top
D1_2,150.15,-126.89,270.0,top
D1,173.12,-127.12,270.0,top
J1_12,127.15,-114.89,90.0,top
J1_11,104.15,-114.89,90.0,top
J1_10,173.15,-85.89,90.0,top
J1_9,150.15,-85.89,90.0,top
J1_8,127.15,-85.89,90.0,top
J1_7,104.15,-85.89,90.0,top
J1_6,173.15,-56.89,90.0,top
J1_5,150.15,-56.89,90.0,top
J1_4,127.15,-56.89,90.0,top
J1_3,104.15,-56.89,90.0,top
J1_2,150.15,-114.89,90.0,top
J1,173.15,-114.89,90.0,top
J2_12,127.11,-137.89,90.0,top
J2_11,104.11,-137.89,90.0,top
J2_10,173.11,-108.89,90.0,top
J2_9,150.11,-108.89,90.0,top
J2_8,127.11,-108.89,90.0,top
J2_7,104.11,-108.89,90.0,top
J2_6,173.11,-79.89,90.0,top
J2_5,150.11,-79.89,90.0,top
J2_4,127.11,-79.89,90.0,top
J2_3,104.11,-79.89,90.0,top
J2_2,150.11,-137.89,90.0,top
J2,173.11,-137.89,90.0,top
Q1_12,127.15,-119.89,0.0,top
Q1_11,104.15,-119.89,0.0,top
Q1_10,173.15,-90.89,0.0,top
Q1_9,150.15,-90.89,0.0,top
Q1_8,127.15,-90.89,0.0,top
Q1_7,104.15,-90.89,0.0,top
Q1_6,173.15,-61.89,0.0,top
Q1_5,150.15,-61.89,0.0,top
Q1_4,127.15,-61.89,0.0,top
Q1_3,104.15,-61.89,0.0,top
Q1_2,150.15,-119.89,0.0,top
Q1,173.15,-119.89,0.0,top
Q2_12,121.65,-129.03,180.0,top
Q2_11,98.65,-129.03,180.0,top
Q2_10,167.65,-100.03,180.0,top
Q2_9,144.65,-100.03,180.0,top
Q2_8,121.65,-100.03,180.0,top
Q2_7,98.65,-100.03,180.0,top
Q2_6,167.65,-71.03,180.0,top
Q2_5,144.65,-71.03,180.0,top
Q2_4,121.65,-71.03,180.0,top
Q2_3,98.65,-71.03,180.0,top
Q2_2,144.65,-129.03,180.0,top
Q2,167.65,-129.03,180.0,top
Q3_12,132.65,-129.03,180.0,top
Q3_11,109.65,-129.03,180.0,top
Q3_10,178.65,-100.03,180.0,top
Q3_9,155.65,-100.03,180.0,top
Q3_8,132.65,-100.03,180.0,top
Q3_7,109.65,-100.03,180.0,top
Q3_6,178.65,-71.03,180.0,top
Q3_5,155.65,-71.03,180.0,top
Q3_4,132.65,-71.03,180.0,top
Q3_3,109.65,-71.03,180.0,top
Q3_2,155.65,-129.03,180.0,top
Q3,178.65,-129.03,180.0,top
R1_12,122.65,-121.89,270.0,top
R1_11,99.65,-121.89,270.0,top
R1_10,168.65,-92.89,270.0,top
R1_9,145.65,-92.89,270.0,top
R1_8,122.65,-92.89,270.0,top
R1_7,99.65,-92.89,270.0,top
R1_6,168.65,-63.89,270.0,top
R1_5,145.65,-63.89,270.0,top
R1_4,122.65,-63.89,270.0,top
R1_3,99.65,-63.89,270.0,top
R1_2,145.65,-121.89,270.0,top
R1,168.65,-121.89,270.0,top
R2_12,131.65,-121.89,90.0,top
R2_11,108.65,-121.89,90.0,top
R2_10,177.65,-92.89,90.0,top
R2_9,154.65,-92.89,90.0,top
R2_8,131.65,-92.89,90.0,top
R2_7,108.65,-92.89,90.0,top
R2_6,177.65,-63.89,90.0,top
R2_5,154.65,-63.89,90.0,top
R2_4,131.65,-63.89,90.0,top
R2_3,108.65,-63.89,90.0,top
R2_2,154.65,-121.89,90.0,top
R2,177.65,-121.89,90.0,top
R3_12,121.84,-133.89,180.0,top
R3_11,98.84,-133.89,180.0,top
R3_10,167.84,-104.89,180.0,top
R3_9,144.84,-104.89,180.0,top
R3_8,121.84,-104.89,180.0,top
R3_7,98.84,-104.89,180.0,top
R3_6,167.84,-75.89,180.0,top
R3_5,144.84,-75.89,180.0,top
R3_4,121.84,-75.89,180.0,top
R3_3,98.84,-75.89,180.0,top
R3_2,144.84,-133.89,180.0,top
R3,167.84,-133.89,180.0,top
R4_12,132.46,-133.89,0.0,top
R4_11,109.46,-133.89,0.0,top
R4_10,178.46,-104.89,0.0,top
R4_9,155.46,-104.89,0.0,top
R4_8,132.46,-104.89,0.0,top
R4_7,109.46,-104.89,0.0,top
R4_6,178.46,-75.89,0.0,top
R4_5,155.46,-75.89,0.0,top
R4_4,132.46,-75.89,0.0,top
R4_3,109.46,-75.89,0.0,top
R4_2,155.46,-133.89,0.0,top
R4,178.46,-133.89,0.0,top
